sector,year,emp_share,va_share,va_per_worker,va_constant_2015usd
agriculture,2010,10.5154,4.1158,7111.84,66067571714.14
industry,2010,24.1828,23.268,16662.01,355972542471.96
services,2010,65.3018,57.6129,18114.74,1045054736932.85
agriculture,2011,9.9136,4.342,7935.77,69792888484.5
industry,2011,23.9091,23.1021,17473.24,370618410318.02
services,2011,66.1773,57.5682,18416.31,1081190874194.91
agriculture,2012,9.8481,4.1683,7658.93,67641702592.97
industry,2012,23.8203,22.1336,17224.13,367939490180.22
services,2012,66.3315,58.7336,18703.3,1112576871502.65
agriculture,2013,10.0261,4.5069,8031.96,73297525663.86
industry,2013,23.6555,21.2248,17458.78,375909863266.0
services,2013,66.3184,59.6788,18938.99,1143215322423.97
agriculture,2014,9.3065,4.3256,8778.8,75343108946.98
industry,2014,23.5736,20.4725,17030.81,370240451608.48
services,2014,67.1199,61.251,18651.5,1154480605454.59
agriculture,2015,9.3324,4.3191,9066.21,77840229289.52
industry,2015,22.8198,19.36,16619.38,348909035724.84
services,2015,67.8478,62.3079,17989.85,1122919858811.22
agriculture,2016,9.7979,4.8914,8358.03,73773686208.52
industry,2016,21.3696,18.3548,17296.33,332976807470.56
services,2016,68.8325,63.2037,17706.65,1097975949865.45
agriculture,2017,9.1914,4.6006,10153.29,84214423218.39
industry,2017,20.9445,18.1885,17529.44,331309492776.59
services,2017,69.8641,63.3387,17549.1,1106382748074.48
agriculture,2018,9.0569,4.4204,10276.47,85315152713.77
industry,2018,20.53,18.7491,17731.53,333684919328.58
services,2018,70.413,62.6534,17499.4,1129474546217.17
agriculture,2019,8.8773,4.205,10312.55,85669242107.36
industry,2019,20.4026,18.7546,17360.08,331449105098.43
services,2019,70.7201,63.0678,17324.96,1146553350698.05
agriculture,2020,9.3141,5.7115,11102.3,89245571913.46
industry,2020,20.2565,19.5061,18395.89,321602048006.65
services,2020,70.4295,61.4484,18157.68,1103693957535.17
agriculture,2021,9.4956,6.5588,10398.22,89248652030.57
industry,2021,20.7335,22.1235,18024.46,337795714721.2
services,2021,69.7709,56.9134,18341.21,1156703842193.12
agriculture,2022,8.7314,5.7675,10443.88,88244081518.45
industry,2022,20.4917,22.8195,17293.92,342933018784.28
services,2022,70.7769,58.0872,17607.47,1205941107645.36
agriculture,2023,8.2028,6.0231,12779.03,102627212113.16
industry,2023,20.1716,22.1442,17656.16,348688610829.66
services,2023,71.6256,59.1789,17674.77,1239435032294.95
agriculture,2024,7.7157,5.7523,12735.26,98787024660.29
industry,2024,20.3022,20.9407,17610.36,359444108388.1
services,2024,71.9821,59.1708,17774.29,1286282442539.82
