study_sector,level,subset,measure,n,mean,min,max
banking_financial,industry_AIIE,finance (NAICS 52),baseline,8,2.053,1.77,2.219
banking_financial,industry_AIIE,finance (NAICS 52),language_modeling,8,1.96,1.643,2.105
banking_financial,industry_AIIE,finance (NAICS 52),image_generation,8,1.697,1.344,1.911
retail_customer_service,industry_AIIE,retail stores (NAICS 44-45),baseline,24,-0.013,-0.687,0.605
retail_customer_service,industry_AIIE,retail stores (NAICS 44-45),language_modeling,24,0.182,-0.692,0.662
retail_customer_service,industry_AIIE,retail stores (NAICS 44-45),image_generation,24,-0.641,-1.193,0.352
retail_customer_service,industry_AIIE,customer-service / back-office proxy,baseline,3,1.734,1.705,1.754
retail_customer_service,industry_AIIE,customer-service / back-office proxy,language_modeling,3,1.736,1.654,1.881
retail_customer_service,industry_AIIE,customer-service / back-office proxy,image_generation,3,1.304,0.744,1.697
agribusiness,industry_AIIE,agricultural support & logging (NAICS 11),baseline,3,-1.558,-2.165,-1.149
agribusiness,industry_AIIE,agricultural support & logging (NAICS 11),language_modeling,3,-1.57,-1.936,-1.034
agribusiness,industry_AIIE,agricultural support & logging (NAICS 11),image_generation,3,-1.167,-2.263,-0.075
agribusiness,industry_AIIE,food & beverage manufacturing (NAICS 311-312),baseline,11,-0.93,-1.663,-0.659
agribusiness,industry_AIIE,food & beverage manufacturing (NAICS 311-312),language_modeling,11,-0.92,-1.515,-0.572
agribusiness,industry_AIIE,food & beverage manufacturing (NAICS 311-312),image_generation,11,-0.931,-1.93,-0.563
banking_financial,occupation_AIOE,finance occupations,baseline,9,1.3,0.473,1.526
banking_financial,occupation_AIOE,finance occupations,language_modeling,9,1.2,0.431,1.477
banking_financial,occupation_AIOE,finance occupations,image_generation,9,0.951,-0.057,1.572
retail_customer_service,occupation_AIOE,retail-store occupations,baseline,3,-0.047,-0.248,0.087
retail_customer_service,occupation_AIOE,retail-store occupations,language_modeling,3,0.15,-0.107,0.357
retail_customer_service,occupation_AIOE,retail-store occupations,image_generation,3,-0.692,-0.855,-0.503
retail_customer_service,occupation_AIOE,customer-service occupations,baseline,3,1.115,0.956,1.272
retail_customer_service,occupation_AIOE,customer-service occupations,language_modeling,3,1.424,1.076,1.926
retail_customer_service,occupation_AIOE,customer-service occupations,image_generation,3,-0.083,-1.428,0.764
agribusiness,occupation_AIOE,agribusiness occupations,baseline,10,-0.64,-1.601,0.632
agribusiness,occupation_AIOE,agribusiness occupations,language_modeling,10,-0.631,-1.432,0.609
agribusiness,occupation_AIOE,agribusiness occupations,image_generation,10,-0.603,-2.189,0.804
