sector,year,productivity_index,real_wage_index,productivity_source
banking_financial,2012,100.0,100.0,wdi_services_backdrop
banking_financial,2013,101.26,104.33,wdi_services_backdrop
banking_financial,2014,99.72,106.23,wdi_services_backdrop
banking_financial,2015,96.19,99.26,wdi_services_backdrop
banking_financial,2016,94.67,104.71,wdi_services_backdrop
banking_financial,2017,93.83,101.16,wdi_services_backdrop
banking_financial,2018,93.56,101.61,wdi_services_backdrop
banking_financial,2019,92.63,100.2,wdi_services_backdrop
banking_financial,2020,97.08,100.56,wdi_services_backdrop
banking_financial,2021,98.06,99.33,wdi_services_backdrop
banking_financial,2022,94.14,97.41,wdi_services_backdrop
banking_financial,2023,94.5,102.95,wdi_services_backdrop
banking_financial,2024,95.03,104.22,wdi_services_backdrop
retail_customer_service,2012,100.0,100.0,scn_real_vab_per_pnad_worker
retail_customer_service,2013,101.39,100.55,scn_real_vab_per_pnad_worker
retail_customer_service,2014,101.67,102.01,scn_real_vab_per_pnad_worker
retail_customer_service,2015,93.07,96.75,scn_real_vab_per_pnad_worker
retail_customer_service,2016,87.93,96.28,scn_real_vab_per_pnad_worker
retail_customer_service,2017,89.66,93.03,scn_real_vab_per_pnad_worker
retail_customer_service,2018,91.1,94.35,scn_real_vab_per_pnad_worker
retail_customer_service,2019,91.46,94.82,scn_real_vab_per_pnad_worker
retail_customer_service,2020,97.94,97.56,scn_real_vab_per_pnad_worker
retail_customer_service,2021,100.82,89.31,scn_real_vab_per_pnad_worker
retail_customer_service,2022,92.83,89.97,scn_real_vab_per_pnad_worker
retail_customer_service,2023,91.67,98.14,scn_real_vab_per_pnad_worker
retail_customer_service,2024,91.49,102.63,scn_real_vab_per_pnad_worker
agribusiness,2012,100.0,100.0,scn_real_vab_per_pnad_worker
agribusiness,2013,109.66,107.58,scn_real_vab_per_pnad_worker
agribusiness,2014,119.5,112.65,scn_real_vab_per_pnad_worker
agribusiness,2015,126.45,105.32,scn_real_vab_per_pnad_worker
agribusiness,2016,124.26,104.03,scn_real_vab_per_pnad_worker
agribusiness,2017,148.09,111.74,scn_real_vab_per_pnad_worker
agribusiness,2018,151.08,114.36,scn_real_vab_per_pnad_worker
agribusiness,2019,150.04,114.12,scn_real_vab_per_pnad_worker
agribusiness,2020,168.03,121.15,scn_real_vab_per_pnad_worker
agribusiness,2021,153.33,113.26,scn_real_vab_per_pnad_worker
agribusiness,2022,156.71,119.8,scn_real_vab_per_pnad_worker
agribusiness,2023,190.54,121.7,scn_real_vab_per_pnad_worker
agribusiness,2024,190.02,129.22,scn_real_vab_per_pnad_worker
