firm,sector,size_tercile,cd_cvm,year,adopt_level,claim_specificity,labor_signal,use_case,use_case_other,evidence_quote,source_url,access_date,doc_type,headcount,notes,coding_method
BANCO DO BRASIL S.A.,banking,large,1023,2023,2,1,neutral,customer-service/chatbot;marketing/personalization;precision-ag,,"O uso da Inteligência Artificial é uma realidade no Banco do Brasil há alguns anos, fazendo parte dos processos negociais, de atendimento e de segurança. O chatbot no Whatsapp, Minhas Finanças e Monitoramento de Lavouras são alguns exemplos",http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=147862,2026-07-17,FRE,86220,"The bank states that AI has operated for years across business, service, and security processes and names multiple tools, without a use-specific quantity.",double-coded (A=B)
BANCO DO BRASIL S.A.,banking,large,1023,2024,2,1,neutral,credit/underwriting/risk;data-analytics,,"O Banco possui amplo e diversificado conjunto de modelos, incluindo os de Inteligência Artificial (IA) desenvolvidos de forma a atender as mais diversas finalidades, incluindo a gestão financeira, corporativa e de riscos",http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157774,2026-07-17,FRE,86574,"The disclosure states that the bank has a broad and diversified set of AI models serving multiple operational purposes, including risk management.",double-coded (A=B)
ITAÚ UNIBANCO,banking,large,19348,2023,2,2,hiring,customer-service/chatbot;credit/underwriting/risk;fraud/AML;process-automation/RPA;marketing/personalization;data-analytics,,"Desde 2021, nossa proporção de atendimentos receptivos que contam com o uso da Inteligência Artificial avançou 45 pontos percentuais e já corresponde a 72% do total de atendimentos",https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1228965&numSequencia=753691&numVersao=1,2026-07-17,annual_report,89889,The report quantifies production AI use across customer contacts and identifies a substantial dedicated AI and data-science workforce.,double-coded (A=B)
ITAÚ UNIBANCO,banking,large,19348,2024,2,2,hiring,customer-service/chatbot;credit/underwriting/risk;process-automation/RPA;supply-chain/logistics;marketing/personalization;data-analytics;other,legal-document analysis,"Temos mais de 470 cientistas de dados, mais de 390 iniciativas de inteligência artificial generativa no banco e mais de 1.300 modelos de inteligência artificial sendo utilizados",http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156924,2026-07-17,FRE,90036,The firm reports extensive operating AI across multiple business uses and frames it alongside growth in technology personnel.,double-coded (A=B)
BANCO ABC BRASIL S/A,banking,mid,20958,2023,1,2,neutral,process-automation/RPA,,"passamos a adotar duas novas soluções, uma voltada à automação da entrega de dados para projetos de tecnologia e outra para automatizar a segurança",https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1262095&numSequencia=786821&numVersao=1,2026-07-17,annual_report,1105,"I side with Coder A because the disclosure identifies two adopted automation solutions, satisfying the codebook's named-use-with-a-number specificity rule.",adjudicated
BANCO ABC BRASIL S/A,banking,mid,20958,2024,1,1,neutral,other,internal compliance Q&A,"Em 2024, lançamos a Assistente Virtual de Compliance (ADA), que oferece suporte instantâneo para dúvidas, questões e consultas rápidas.",https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1396550&numSequencia=921262&numVersao=1,2026-07-17,annual_report,1150,"The launched named virtual compliance assistant supports one internal Q&A use, although its AI basis is not explicitly stated.",double-coded (A=B)
BANCO DO NORDESTE,banking,mid,1228,2023,0,,neutral,,,,,,,6679,[THIN COVERAGE: FRE not machine-readable; minimal text] No AI-related passage was disclosed in the provided evidence.,double-coded (A=B)
BANCO DO NORDESTE,banking,mid,1228,2024,1,2,neutral,process-automation/RPA;other,administrative productivity / generative-AI copilot,Aquisição de 500 licenças Copilot M365: uso de IA para melhoria de produtividade de atividades administrativas,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156615,2026-07-17,FRE,7099,I side with Coder A because the Copilot use is described as a bounded administrative deployment while the broader AI initiatives are explicitly pilots.,adjudicated
BANCO MERCANTIL DO BRASIL S/A,banking,small,1325,2023,2,2,neutral,customer-service/chatbot;credit/underwriting/risk;fraud/AML;process-automation/RPA,,"Em julho deste ano foi lançada a “Mel”, a assistente virtual baseada em inteligência artificial. A Mel realiza hoje mais de 2 milhões de atendimentos mensais",http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=147512,2026-07-17,FRE,3005,"The named AI assistant operates at a quantified customer scale, alongside disclosed machine-learning credit and fraud applications.",double-coded (A=B)
BANCO MERCANTIL DO BRASIL S/A,banking,small,1325,2024,0,,neutral,,,,,,,3096,[THIN COVERAGE: FRE not machine-readable; minimal text] No AI-related content is disclosed in the provided readable-document evidence.,double-coded (A=B)
