sector,size_tercile,role,rank_in_sector,firm,legal_name,cd_cvm,cnpj,setor_ativ,size_metric,size_value_brl,statement_used,status_note
banking,large,core,1,ITAÚ UNIBANCO,ITAÚ UNIBANCO HOLDING S.A.,19348,60.872.504/0001-23,Bancos,total_assets,2854475000000,consolidated,
banking,large,core,2,BANCO DO BRASIL S.A.,BANCO DO BRASIL S.A.,1023,00.000.000/0001-91,Bancos,total_assets,2398719197000,consolidated,
banking,large,alternate,3,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,906,60.746.948/0001-12,Bancos,total_assets,2069506045000,consolidated,
banking,large,reserve,4,BANCO SANTANDER (BRASIL) S.A.,BANCO SANTANDER (BRASIL) S.A.,20532,90.400.888/0001-42,Bancos,total_assets,1238796810000,consolidated,
banking,large,reserve,5,BANCO UBS PACTUAL S/A,BANCO BTG PACTUAL S/A,22616,30.306.294/0001-45,Bancos,total_assets,649216711000,consolidated,
banking,large,reserve,6,BANRISUL S/A,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,1210,92.702.067/0001-96,Bancos,total_assets,147936515000,consolidated,
banking,mid,core,7,BANCO ABC BRASIL S/A,BANCO ABC BRASIL S/A,20958,28.195.667/0001-06,Bancos,total_assets,71706054000,individual,
banking,mid,core,8,BANCO DO NORDESTE,BANCO DO NORDESTE DO BRASIL SA,1228,07.237.373/0001-20,Bancos,total_assets,69962975000,individual,
banking,mid,alternate,9,BRB,BRB BANCO DE BRASILIA SA,14206,00.000.208/0001-00,Bancos,total_assets,62504412000,consolidated,
banking,mid,reserve,10,BANCO DA AMAZONIA S.A.,BANCO DA AMAZÔNIA S.A.,922,04.902.979/0001-44,Bancos,total_assets,54315898000,individual,
banking,mid,reserve,11,BANCO BMG S/A,BANCO BMG S/A,24600,61.186.680/0001-74,Bancos,total_assets,48437791000,consolidated,
banking,mid,reserve,12,BANESTES S/A,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,1155,28.127.603/0001-78,Bancos,total_assets,36916911000,consolidated,
banking,small,core,13,BANCO PINE S/A,BANCO PINE S/A,20567,62.144.175/0001-20,Bancos,total_assets,26994482000,consolidated,
banking,small,core,14,BANCO MERCANTIL DO BRASIL S/A,BANCO MERCANTIL BRASIL SA,1325,17.184.037/0001-10,Bancos,total_assets,25479109000,consolidated,
banking,small,alternate,15,BANPARÁ S.A.,BANCO DO ESTADO DO PARÁ S/A.,1171,04.913.711/0001-08,Bancos,total_assets,17964377000,individual,
banking,small,reserve,16,BANESE,BANCO DO ESTADO DE SERGIPE SA,1120,13.009.717/0001-46,Bancos,total_assets,11725046000,individual,
banking,small,reserve,17,BANCO MERCANTIL DE INVESTIMENTOS SA,BANCO MERCANTIL DE INVESTIMENTOS S.A.,1309,34.169.557/0001-72,Bancos,total_assets,492290000,individual,
banking,small,reserve,18,INVESTIMENTOS BEMGE,INVESTIMENTOS BEMGE S.A.,6041,01.548.981/0001-79,Bancos,total_assets,177415000,individual,
retail,large,core,1,SENDAS DISTRIBUIDORA S.A.,SENDAS DISTRIBUIDORA S.A.,25372,06.057.223/0001-71,Comércio (Atacado e Varejo),net_revenue,73819000000,individual,cash-and-carry (atacarejo) consumer food retail
retail,large,core,2,DROGASIL SA,RAIA DROGASIL S.A.,5258,61.585.865/0001-51,Comércio (Atacado e Varejo),net_revenue,38871522000,consolidated,
retail,large,alternate,3,MAGAZINE LUIZA SA,MAGAZINE LUIZA SA,22470,47.960.950/0001-21,Comércio (Atacado e Varejo),net_revenue,38038068000,consolidated,
retail,large,reserve,4,PONTO FRIO,GRUPO CASAS BAHIA S.A.,6505,33.041.260/0652-90,Comércio (Atacado e Varejo),net_revenue,27206000000,consolidated,
retail,large,reserve,5,PÃO DE AÇÚCAR,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,14826,47.508.411/0001-56,Comércio (Atacado e Varejo),net_revenue,18790000000,consolidated,
retail,large,reserve,6,RENNER,LOJAS RENNER SA,8133,92.754.738/0001-62,Comércio (Atacado e Varejo),net_revenue,14436366000,consolidated,
retail,mid,core,7,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,20990,00.776.574/0001-56,Comércio (Atacado e Varejo),net_revenue,14349000000,consolidated,in judicial recovery (kept: consumer retail; files normally)
retail,mid,core,8,EMPREENDIMENTOS PAGUE MENOS SA,EMPREENDIMENTOS PAGUE MENOS SA,22608,06.626.253/0001-51,Comércio (Atacado e Varejo),net_revenue,12641825000,consolidated,
retail,mid,alternate,9,GRUPO SBF S.A.,GRUPO SBF S.A.,24694,13.217.485/0001-11,Comércio (Atacado e Varejo),net_revenue,7151714000,consolidated,
retail,mid,reserve,10,PANVEL FARMÁCIAS,DIMED SA DISTRIBUIDORA DE MEDICAMENTOS,9342,92.665.611/0001-77,Comércio (Atacado e Varejo),net_revenue,4942462000,consolidated,legal name says 'distribuidora' but primary business is the Panvel pharmacy retail chain
retail,mid,reserve,11,LOJAS QUERO-QUERO S.A.,LOJAS QUERO QUERO S.A.,25038,96.418.264/0218-02,Comércio (Atacado e Varejo),net_revenue,2666330000,consolidated,
retail,mid,reserve,12,VIVARA PARTICIPAÇÕES S.A.,VIVARA PARTICIPAÇÕES S.A.,24805,33.839.910/0001-11,Comércio (Atacado e Varejo),net_revenue,2577113417,consolidated,
retail,small,core,13,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,25046,12.108.897/0001-50,Comércio (Atacado e Varejo),net_revenue,2160645000,consolidated,
retail,small,core,14,MARISA LOJAS SA,MARISA LOJAS SA,22055,61.189.288/0001-89,Comércio (Atacado e Varejo),net_revenue,1392169000,consolidated,
retail,small,alternate,15,GRUPO TOKY S.A. - EM RECUPERAÇÃO JUDICIAL,GRUPO TOKY S.A. - EM RECUPERAÇÃO JUDICIAL,25461,31.553.627/0001-01,Comércio (Atacado e Varejo),net_revenue,811197000,consolidated,in judicial recovery (kept: Tok&Stok/Mobly furniture retail)
retail,small,reserve,16,GRAZZIOTIN,GRAZZIOTIN SA,4537,92.012.467/0001-70,Comércio (Atacado e Varejo),net_revenue,728592000,consolidated,
retail,small,reserve,17,ENJOEI S.A.,ENJOEI S.A.,25259,16.922.038/0001-51,Comércio (Atacado e Varejo),net_revenue,265221000,consolidated,
retail,small,reserve,18,WESTWING COMÉRCIO VAREJISTA S.A.,WESTWING COMÉRCIO VAREJISTA S.A.,25518,14.776.142/0001-50,Comércio (Atacado e Varejo),net_revenue,167739000,individual,
agribusiness,large,core,1,JBS SA,JBS SA,20575,02.916.265/0001-60,Alimentos,net_revenue,416952002000,consolidated,
agribusiness,large,core,2,MARFRIG,MARFRIG GLOBAL FOODS SA,20788,03.853.896/0001-40,Alimentos,net_revenue,148860959000,consolidated,
agribusiness,large,alternate,3,COSAN SA INDUSTRIA E COMERCIO,COSAN S.A.,19836,50.746.577/0001-15,"Agricultura (Açúcar, Álcool e Cana)",net_revenue,43950742000,consolidated,
agribusiness,large,reserve,4,MINERVA S/A,MINERVA S/A,20931,67.620.377/0001-14,Alimentos,net_revenue,34068866000,consolidated,
agribusiness,large,reserve,5,CAMIL ALIMENTOS S/A,CAMIL ALIMENTOS S/A,24228,64.904.295/0001-03,Alimentos,net_revenue,11249647000,consolidated,
agribusiness,large,reserve,6,M DIAS BRANCO SA IND E COM DE ALIMENTOS,M. DIAS BRANCO SA IND E COM DE ALIMENTOS,20338,07.206.816/0001-15,Alimentos,net_revenue,9662833000,consolidated,
agribusiness,mid,core,7,SLC AGRICOLA SA,SLC AGRICOLA SA,20745,89.096.457/0001-55,"Agricultura (Açúcar, Álcool e Cana)",net_revenue,7803627000,consolidated,
agribusiness,mid,core,8,SÃO MARTINHO SA,SÃO MARTINHO SA,20516,51.466.860/0001-56,"Agricultura (Açúcar, Álcool e Cana)",net_revenue,6891738000,consolidated,
agribusiness,mid,alternate,9,ZAMP S.A.,ZAMP S.A.,24317,13.574.594/0001-96,Alimentos,net_revenue,4556360000,consolidated,
agribusiness,mid,reserve,10,INTERNATIONAL MEAL COMAPANY ALIMENTAÇÃO S.A.,INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.,23574,17.314.329/0001-20,Alimentos,net_revenue,2224984000,consolidated,
agribusiness,mid,reserve,11,JALLES MACHADO S.A,JALLES MACHADO S.A.,25496,02.635.522/0001-95,"Agricultura (Açúcar, Álcool e Cana)",net_revenue,1909528000,consolidated,
agribusiness,small,core,12,BOA SAFRA SEMENTES S.A.,BOA SAFRA SEMENTES S.A,25704,10.807.374/0001-77,Alimentos,net_revenue,1841052000,consolidated,
agribusiness,small,core,13,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,20036,07.628.528/0001-59,"Agricultura (Açúcar, Álcool e Cana)",net_revenue,1058909000,consolidated,
agribusiness,small,alternate,14,CONSERVAS ODERICH SA,CONSERVAS ODERICH SA,4693,97.191.902/0001-94,Alimentos,net_revenue,733020000,consolidated,
agribusiness,small,reserve,15,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,23981,06.981.381/0001-13,"Agricultura (Açúcar, Álcool e Cana)",net_revenue,382068000,consolidated,
agribusiness,small,reserve,16,EXCELSIOR,EXCELSIOR ALIMENTOS SA.,1570,95.426.862/0001-97,Alimentos,net_revenue,247171000,individual,
agribusiness,small,reserve,17,NUTRIPLANT,NUTRIPLANT INDUSTRIA E COMÉRCIO S/A,21334,51.128.999/0001-90,"Agricultura (Açúcar, Álcool e Cana)",net_revenue,200267000,consolidated,
